Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Youï¿½ï¿½ï¿½re Mines Still (feat. ,Youï¿½ï¿½ï¿½re Mines Still (feat. ,Yung Bleu,2020-10-15,USWB12004394,"1,075",46.1,233139871.0,"77,694","13,955,396",63.0,425539008.0,"2,824,144","98,082",15980144.0,"111,422,826","42,967,196",53.0,"194,040",57,5.0,638,5.0,"155,675,259","46,530","25,280,506","523,078",,0
BADGYAL,SAKURA,SAIKO,2024-04-26,QM4TX2482887,"1,076",46.1,56282981.0,"5,849","51,387,051",80.0,13102384.0,"110,873",,,,"5,411,568",25.0,982,,11.0,"2,671,234",5.0,"3,698",9,,"279,219",,0
Sorry 4 The Wait,Sorry 4 The Wait,Lil Wayne,2022-01-14,USUG12106458,"1,079",46.0,24285898.0,"8,422","1,181,602",54.0,9750600.0,"41,196",917,97854.0,"1,029,336","2,034",1.0,104,,1.0,"23,919",,"16,796,873","965,499",,"211,234",,0
DILUVIO,PLAYA SATURNO,Rauw Alejandro,2023-07-07,USSD12300302,"1,078",46.0,310562790.0,"33,458","54,918,981",79.0,113130284.0,"482,647","148,600",42427834.0,"372,688,472","784,575,181",55.0,"8,643",50,42.0,"3,054,645",43.0,"9,966,566","2,768","169,769","841,414",,0
ZEZE (feat. Travis Scott & Offset),ZEZE (feat. Travis Scott & Offset),Kodak Black,2018-10-12,USAT21811523,"1,080",46.0,1070685587.0,"203,323","32,147,932",71.0,494548432.0,"4,682,485","1,386,205",55794187.0,"463,776,007","84,796,677",82.0,"72,133",90,27.0,"129,554",14.0,"235,258,481","117,224",,"4,235,259",,0
"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"") - Single",Pritam,2022-07-17,INS172203702,"1,084",46.0,516740949.0,"30,584","13,659,510",67.0,548697509.0,"6,082,861",,,,"174,637,093",35.0,"2,050",,1.0,"1,097",13.0,"896,892",661,"3,338","372,802",,0
The Craving (single version),The Craving (single version) - Single,Twenty One Pilots,2024-05-22,USAT22403454,"1,083",46.0,9084595.0,"1,087","26,826,278",,11912619.0,"302,647",,,,"59,828,100",33.0,"7,678",15,20.0,"476,040",78.0,"1,346,719",92,,"35,315",,0
Bartolito,20 GRANDES ï¿½ï¿½X,Duo Tiempo de Sol,2015-10-05,ARF061500454,"1,082",46.0,70061366.0,"6,847","1,133,511",62.0,3257763799.0,"9,018,759",,,,,2.0,199,,1.0,"3,695",,,,"17,519","73,794",,0
Peaches,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),Jack Black,2023-04-07,USQ4E2204040,"1,077",46.0,144252786.0,"35,929","3,276,465",64.0,68229038.0,"1,462,629","822,942",255693787.0,"3,002,241,315","17,180,346",17.0,,817,3.0,"146,493",10.0,"17,629,603","82,070","946,535","292,159",,0
Counting stars,Until the morning 2,OneRepublic,2014-08-04,FR0Z50017635,"1,081",46.0,,,,,4069201723.0,"18,144,051",,,,"399,937,303",,,,1.0,180,,,,,,,0
Take My Breath - Single Version,Take My Breath,The Weeknd,2021-08-05,USUG12102076,"1,085",45.9,465348362.0,"89,586","17,062,402",57.0,218889957.0,"2,186,587","42,395",17828688.0,"224,955,330","2,420,528,253",151.0,"373,541",489,46.0,"2,548,365",44.0,"78,039,281","7,207",,,,0
Lavender Haze,Midnights,Taylor Swift,2022-10-21,USUG12205734,"1,090",45.9,711138043.0,"42,535","28,394,531",73.0,26695871.0,"411,132","90,029",35207211.0,"302,181,012",,66.0,"249,917","1,936",11.0,"844,207",54.0,"54,466,202","20,497",,"900,372",,0
KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,Oxlade,2022-06-10,QMEU32209358,"1,089",45.9,331419634.0,"92,569","17,049,738",68.0,90820063.0,"924,838","582,831",42516541.0,"534,189,550","51,539,371",116.0,"64,413",,47.0,"729,868",41.0,"6,105,145","2,592",,"4,816,359",,0
Toca o Trompete,Cadï¿½ï¿½ o After? P,Felipe Amorim,2023-07-21,BCOOP2300013,"1,087",45.9,166784328.0,"15,122","14,569,377",66.0,196927226.0,"943,630","482,200",79195177.0,"1,222,155,154","385,123,282",10.0,98,,19.0,"541,722",9.0,,,,"173,558",,0
Nobody Gets Me,SOS,SZA,2022-12-09,USRC12204598,"1,091",45.9,561645790.0,"58,561","39,587,642",82.0,79127644.0,"867,545","61,070",32412474.0,"220,878,489","325,461,284",64.0,"61,047",293,40.0,"235,219",23.0,"20,725,484","11,445","3,758,963","1,208,187",,0
Sleep Well,Sleep Well - Single,CG5,2024-02-16,USA2P2406901,"1,086",45.9,19236234.0,"1,602","962,658",,114064058.0,"1,339,987",,,,"1,352,193,313",,,,,,,"516,534","3,014",,"71,078",,0
Hei Apa Apa / Tik Tak Tik Tik,Nuansa Angkot 2023 - Vol. 1,Donny Fernanda,2023-02-14,FR59R2347368,"1,092",45.9,12415.0,1,2,,,,"3,817,700",148462808.0,"2,586,057,582",,,,,,,,,,,,,0
Glock In My Lap,SAVAGE MODE II,21 Savage,2020-10-02,USSM12006061,"1,088",45.9,614603953.0,"164,722","24,902,576",78.0,164711656.0,"1,799,801","45,186",22453063.0,"162,296,330","40,458,162",25.0,940,,18.0,"196,078",3.0,"18,427,460","10,054","34,124,605","2,194,666",,0
overseas,overseas,Ken Carson,2024-04-12,USUM72403587,"1,095",45.8,35980441.0,"7,297","7,809,196",79.0,1080994.0,"55,353",,,,"381,728",6.0,,191,,,3.0,"107,128",302,"2,768,006","82,029",,0
CORAZï¿½ï¿½N VA,CORAZï¿½ï¿½N VA,Maria Becerra,2023-06-22,USWL12301086,"1,094",45.8,251442618.0,"19,913","23,463,750",71.0,209201810.0,"958,198","249,263",61634866.0,"541,965,678","650,020,478",23.0,"16,628",354,20.0,"635,145",53.0,"188,360",75,,"209,753",,0
PUNTO G,Punto G,Quevedo,2022-11-04,BK4DA2202913,"1,096",45.8,600073400.0,"73,593","22,371,448",71.0,171936153.0,"975,795","181,760",42088473.0,"450,971,538","1,034,742",24.0,"15,719",50,13.0,"194,411",29.0,"272,917",288,"97,391","529,802",,0
"Muqabla (From ""Street Dancer 3D"")","Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,2019-12-21,INS181905922,"1,093",45.8,102668822.0,"8,999","4,335,630",58.0,1111498706.0,"6,693,422","4,369,880",26463521.0,"557,936,748","236,773,715",14.0,"2,014",,,,3.0,,,,"104,058",,0
Ditto,Ditto,NewJeans,2022-12-19,USA2P2254487,"1,098",45.7,614497357.0,"47,586","17,245,496",74.0,202069442.0,"2,934,641","396,808",179997019.0,"1,587,051,148","226,112,613",44.0,"13,257",20,2.0,"34,632",42.0,"1,082,714","1,542",,"714,871",,0
